Outcome,Method,Category,Usable,Harmful,Weak,Deployable,Requires_A,AUROC_Comparable
EUROD,GridSearch_TPR,In-processing,✓,✗,✗,✓,✗,✓
EUROD,AdvDebiasing,In-processing,✓,✗,✗,✗,✓,✓
EUROD,EqOdds_PP,Post-processing,✓,✗,✗,✗,✓,✗
EUROD,SampleReweighting,Pre-processing,✓,✗,✗,✓,✗,✓
EUROD,JTT,In-processing,✗,✗,✗,✓,✗,✓
EUROD,DIR,Pre-processing,✓,✗,✗,✗,✓,✓
EUROD,ThreshOpt_EO,Post-processing,✗,✗,✗,✗,✓,✗
EUROD,CorrelationRemover,Pre-processing,✓,✗,✗,✗,✓,✓
EUROD,ExpGrad_TPR,In-processing,✓,✗,✗,✓,✗,✓
EUROD,Reweighing,Pre-processing,✓,✗,✗,✓,✗,✓
EUROD,FairConstraints,In-processing,✓,✗,✗,✓,✗,✓
EUROD,ThreshOpt_TPR,Post-processing,✗,✗,✗,✗,✓,✗
EUROD,BASELINE,Baseline,✓,✗,✗,✓,✗,✓
EUROD,GerryFairClassifier,In-processing,✗,✗,✗,✗,✓,✗
EUROD,GroupCalibration,Post-processing,✓,✗,✗,✗,✓,✓
EUROD,ExpGrad_EO,In-processing,✓,✗,✗,✓,✗,✓
EUROD,ThreshOpt_DP,Post-processing,✗,✗,✗,✗,✓,✗
EUROD,GridSearch_EO,In-processing,✓,✗,✗,✓,✗,✓
EUROD,GroupDRO,In-processing,✓,✗,✗,✓,✗,✓
EUROD,FairSMOTE,Augmentation,✓,✗,✗,✓,✗,✓
EUROD,ExpGrad_DP,In-processing,✓,✗,✗,✓,✗,✓
EUROD,PrejudiceRemover,In-processing,✓,✗,✗,✗,✓,✓
EUROD,DecoupledClassifier,In-processing,✓,✗,✗,✗,✓,✓
EUROD,FairGBM,In-processing,✓,✗,✗,✓,✗,✓
EUROD,RejectOption,Post-processing,✓,✗,✗,✗,✓,✗
EUROD,LFR,Pre-processing,✗,✗,✓,✗,✓,✓
EUROD,CTGAN,Augmentation,✓,✗,✗,✓,✗,✓
LS,GridSearch_TPR,In-processing,✓,✗,✗,✓,✗,✓
LS,AdvDebiasing,In-processing,✓,✗,✗,✗,✓,✓
LS,EqOdds_PP,Post-processing,✓,✗,✗,✗,✓,✗
LS,SampleReweighting,Pre-processing,✓,✗,✗,✓,✗,✓
LS,JTT,In-processing,✗,✗,✓,✓,✗,✓
LS,DIR,Pre-processing,✓,✗,✗,✗,✓,✓
LS,ThreshOpt_EO,Post-processing,✗,✗,✗,✗,✓,✗
LS,CorrelationRemover,Pre-processing,✓,✗,✗,✗,✓,✓
LS,ExpGrad_TPR,In-processing,✓,✗,✗,✓,✗,✓
LS,Reweighing,Pre-processing,✓,✗,✗,✓,✗,✓
LS,FairConstraints,In-processing,✓,✗,✗,✓,✗,✓
LS,ThreshOpt_TPR,Post-processing,✗,✗,✗,✗,✓,✗
LS,BASELINE,Baseline,✓,✗,✗,✓,✗,✓
LS,GerryFairClassifier,In-processing,✗,✗,✗,✗,✓,✗
LS,GroupCalibration,Post-processing,✓,✗,✗,✗,✓,✓
LS,ExpGrad_EO,In-processing,✓,✗,✗,✓,✗,✓
LS,ThreshOpt_DP,Post-processing,✗,✗,✗,✗,✓,✗
LS,GridSearch_EO,In-processing,✓,✗,✗,✓,✗,✓
LS,GroupDRO,In-processing,✓,✗,✗,✓,✗,✓
LS,FairSMOTE,Augmentation,✓,✗,✗,✓,✗,✓
LS,ExpGrad_DP,In-processing,✓,✗,✗,✓,✗,✓
LS,PrejudiceRemover,In-processing,✓,✗,✗,✗,✓,✓
LS,DecoupledClassifier,In-processing,✓,✗,✗,✗,✓,✓
LS,FairGBM,In-processing,✓,✗,✗,✓,✗,✓
LS,RejectOption,Post-processing,✓,✗,✗,✗,✓,✗
LS,LFR,Pre-processing,✗,✗,✓,✗,✓,✓
LS,CTGAN,Augmentation,✓,✗,✗,✓,✗,✓
CASP,GridSearch_TPR,In-processing,✓,✗,✗,✓,✗,✓
CASP,AdvDebiasing,In-processing,✓,✗,✗,✗,✓,✓
CASP,EqOdds_PP,Post-processing,✓,✗,✗,✗,✓,✗
CASP,SampleReweighting,Pre-processing,✓,✗,✗,✓,✗,✓
CASP,JTT,In-processing,✓,✗,✗,✓,✗,✓
CASP,DIR,Pre-processing,✓,✗,✗,✗,✓,✓
CASP,ThreshOpt_EO,Post-processing,✓,✗,✗,✗,✓,✗
CASP,CorrelationRemover,Pre-processing,✓,✗,✗,✗,✓,✓
CASP,ExpGrad_TPR,In-processing,✓,✗,✗,✓,✗,✓
CASP,Reweighing,Pre-processing,✓,✗,✗,✓,✗,✓
CASP,FairConstraints,In-processing,✓,✗,✗,✓,✗,✓
CASP,ThreshOpt_TPR,Post-processing,✓,✗,✗,✗,✓,✗
CASP,BASELINE,Baseline,✓,✗,✗,✓,✗,✓
CASP,GerryFairClassifier,In-processing,✓,✗,✗,✗,✓,✗
CASP,GroupCalibration,Post-processing,✓,✗,✗,✗,✓,✓
CASP,ExpGrad_EO,In-processing,✓,✗,✗,✓,✗,✓
CASP,ThreshOpt_DP,Post-processing,✓,✗,✗,✗,✓,✗
CASP,GridSearch_EO,In-processing,✓,✗,✗,✓,✗,✓
CASP,GroupDRO,In-processing,✓,✗,✗,✓,✗,✓
CASP,FairSMOTE,Augmentation,✓,✗,✗,✓,✗,✓
CASP,ExpGrad_DP,In-processing,✓,✗,✗,✓,✗,✓
CASP,PrejudiceRemover,In-processing,✓,✗,✗,✗,✓,✓
CASP,DecoupledClassifier,In-processing,✓,✗,✗,✗,✓,✓
CASP,FairGBM,In-processing,✓,✗,✗,✓,✗,✓
CASP,RejectOption,Post-processing,✓,✗,✗,✗,✓,✗
CASP,LFR,Pre-processing,✓,✗,✗,✗,✓,✓
CASP,CTGAN,Augmentation,✓,✗,✗,✓,✗,✓
SRH,GridSearch_TPR,In-processing,✓,✗,✗,✓,✗,✓
SRH,AdvDebiasing,In-processing,✓,✗,✗,✗,✓,✓
SRH,EqOdds_PP,Post-processing,✓,✗,✗,✗,✓,✗
SRH,SampleReweighting,Pre-processing,✓,✗,✗,✓,✗,✓
SRH,JTT,In-processing,✓,✗,✗,✓,✗,✓
SRH,DIR,Pre-processing,✓,✗,✗,✗,✓,✓
SRH,ThreshOpt_EO,Post-processing,✓,✗,✗,✗,✓,✗
SRH,CorrelationRemover,Pre-processing,✓,✗,✗,✗,✓,✓
SRH,ExpGrad_TPR,In-processing,✓,✗,✗,✓,✗,✓
SRH,Reweighing,Pre-processing,✓,✗,✗,✓,✗,✓
SRH,FairConstraints,In-processing,✓,✗,✗,✓,✗,✓
SRH,ThreshOpt_TPR,Post-processing,✓,✗,✗,✗,✓,✗
SRH,BASELINE,Baseline,✓,✗,✗,✓,✗,✓
SRH,GerryFairClassifier,In-processing,✓,✗,✗,✗,✓,✗
SRH,GroupCalibration,Post-processing,✓,✗,✗,✗,✓,✓
SRH,ExpGrad_EO,In-processing,✓,✗,✗,✓,✗,✓
SRH,ThreshOpt_DP,Post-processing,✓,✗,✗,✗,✓,✗
SRH,GridSearch_EO,In-processing,✓,✗,✗,✓,✗,✓
SRH,GroupDRO,In-processing,✓,✗,✗,✓,✗,✓
SRH,FairSMOTE,Augmentation,✓,✗,✗,✓,✗,✓
SRH,ExpGrad_DP,In-processing,✓,✗,✗,✓,✗,✓
SRH,PrejudiceRemover,In-processing,✓,✗,✗,✗,✓,✓
SRH,DecoupledClassifier,In-processing,✓,✗,✗,✗,✓,✓
SRH,FairGBM,In-processing,✓,✗,✗,✓,✗,✓
SRH,RejectOption,Post-processing,✓,✗,✗,✗,✓,✗
SRH,LFR,Pre-processing,✓,✗,✗,✗,✓,✓
SRH,CTGAN,Augmentation,✓,✗,✗,✓,✗,✓
